25.99,1,5,2024-11-25 12:00:00
120.49,2,3,2024-11-25 12:30:00
75.00,3,2,2024-11-25 13:00:00
35.75,1,4,2024-11-25 13:30:00
15.50,4,10,2024-11-25 14:00:00
199.99,5,1,2024-11-25 14:30:00
50.00,6,7,2024-11-25 15:00:00
89.99,7,3,2024-11-25 15:30:00
45.60,8,2,2024-11-25 16:00:00
30.10,9,6,2024-11-25 16:30:00
150.30,10,4,2024-11-25 17:00:00
22.99,1,1,2024-11-25 17:30:00
68.00,2,5,2024-11-25 18:00:00
37.90,3,4,2024-11-25 18:30:00
99.95,4,3,2024-11-25 19:00:00
200.50,5,2,2024-11-25 19:30:00
60.00,6,6,2024-11-25 20:00:00
95.99,7,4,2024-11-25 20:30:00
25.80,8,8,2024-11-25 21:00:00
18.50,9,9,2024-11-25 21:30:00
135.75,10,3,2024-11-25 22:00:00
80.20,1,2,2024-11-25 22:30:00
155.60,2,6,2024-11-25 23:00:00
70.00,3,7,2024-11-26 00:00:00
33.45,4,10,2024-11-26 00:30:00
110.10,5,1,2024-11-26 01:00:00
45.30,6,5,2024-11-26 01:30:00
190.00,7,3,2024-11-26 02:00:00
55.75,8,4,2024-11-26 02:30:00
40.10,9,5,2024-11-26 03:00:00
68.50,10,6,2024-11-26 03:30:00
100.60,1,3,2024-11-26 04:00:00
72.90,2,5,2024-11-26 04:30:00
80.75,3,8,2024-11-26 05:00:00
120.00,4,4,2024-11-26 05:30:00
40.20,5,2,2024-11-26 06:00:00
59.99,6,10,2024-11-26 06:30:00
85.50,7,6,2024-11-26 07:00:00
22.90,8,9,2024-11-26 07:30:00
130.00,9,1,2024-11-26 08:00:00
75.50,10,4,2024-11-26 08:30:00
160.00,1,3,2024-11-26 09:00:00
45.90,2,8,2024-11-26 09:30:00
33.75,3,4,2024-11-26 10:00:00
20.00,4,10,2024-11-26 10:30:00
75.60,5,6,2024-11-26 11:00:00
99.99,6,2,2024-11-26 11:30:00
145.80,7,7,2024-11-26 12:00:00
110.50,8,5,2024-11-26 12:30:00
55.00,9,6,2024-11-26 13:00:00
60.99,10,8,2024-11-26 13:30:00
70.50,1,9,2024-11-26 14:00:00
185.00,2,4,2024-11-26 14:30:00
49.50,3,5,2024-11-26 15:00:00
128.75,4,7,2024-11-26 15:30:00
80.00,5,3,2024-11-26 16:00:00
55.90,6,4,2024-11-26 16:30:00
95.30,7,8,2024-11-26 17:00:00
85.20,8,9,2024-11-26 17:30:00
40.30,9,10,2024-11-26 18:00:00
110.00,10,1,2024-11-26 18:30:00
50.60,1,2,2024-11-26 19:00:00
33.00,2,6,2024-11-26 19:30:00
98.75,3,3,2024-11-26 20:00:00
77.00,4,7,2024-11-26 20:30:00
75.99,5,2,2024-11-26 21:00:00
60.80,6,5,2024-11-26 21:30:00
120.99,7,3,2024-11-26 22:00:00
140.30,8,6,2024-11-26 22:30:00
135.90,9,4,2024-11-26 23:00:00
180.20,10,5,2024-11-26 23:30:00
35.60,1,6,2024-11-27 00:00:00
25.00,2,3,2024-11-27 00:30:00
150.30,3,4,2024-11-27 01:00:00
77.99,4,2,2024-11-27 01:30:00
95.10,5,5,2024-11-27 02:00:00
65.40,6,7,2024-11-27 02:30:00
25.20,7,3,2024-11-27 03:00:00
35.00,8,8,2024-11-27 03:30:00
90.00,9,2,2024-11-27 04:00:00
120.00,10,4,2024-11-27 04:30:00
80.00,1,6,2024-11-27 09:30:00
95.50,2,4,2024-11-27 10:00:00
75.30,3,7,2024-11-27 10:30:00
55.10,4,5,2024-11-27 11:00:00
40.80,5,8,2024-11-27 11:30:00
65.60,6,3,2024-11-27 12:00:00
35.90,7,4,2024-11-27 12:30:00
120.30,8,5,2024-11-27 13:00:00
70.50,9,6,2024-11-27 13:30:00
99.00,10,7,2024-11-27 14:00:00
50.00,1,2,2024-11-27 14:30:00
75.99,2,5,2024-11-27 15:00:00
65.00,3,3,2024-11-27 15:30:00
85.50,4,4,2024-11-27 16:00:00
120.00,5,6,2024-11-27 16:30:00
110.80,6,7,2024-11-27 17:00:00
45.20,7,5,2024-11-27 17:30:00
150.00,8,2,2024-11-27 18:00:00
65.90,9,3,2024-11-27 18:30:00
75.60,10,8,2024-11-27 19:00:00
85.00,1,1,2024-11-27 19:30:00
120.80,2,3,2024-11-27 20:00:00
95.30,3,4,2024-11-27 20:30:00
40.00,4,5,2024-11-27 21:00:00
130.60,5,6,2024-11-27 21:30:00
150.10,6,3,2024-11-27 22:00:00
70.80,7,7,2024-11-27 22:30:00
50.30,8,8,2024-11-27 23:00:00
90.10,9,2,2024-11-27 23:30:00
75.00,10,5,2024-11-28 00:00:00
